,COUNTY,JUDGES,CITY
623,"Superior Court of California, County of Los Angeles",Kevin S. Rosenberg,Los Angeles
624,"Superior Court of California, County of Los Angeles",Jonathan L. Rosenbloom,Los Angeles
625,"Superior Court of California, County of Los Angeles",Frederick Rotenberg,Los Angeles
626,"Superior Court of California, County of Los Angeles",Thomas Rubinson,Los Angeles
627,"Superior Court of California, County of Los Angeles",William C. Ryan,Los Angeles
628,"Superior Court of California, County of Los Angeles",Tammy Chung Ryu,Los Angeles
629,"Superior Court of California, County of Los Angeles",William L. Sadler,Los Angeles
630,"Superior Court of California, County of Los Angeles",Raul Anthony Sahagun,Los Angeles
631,"Superior Court of California, County of Los Angeles",Timothy R. Saito,Los Angeles
632,"Superior Court of California, County of Los Angeles",Valerie Salkin,Los Angeles
633,"Superior Court of California, County of Los Angeles",Shellie L. Samuels,Los Angeles
634,"Superior Court of California, County of Los Angeles",Deborah L. Sanchez,Los Angeles
635,"Superior Court of California, County of Los Angeles",Yvonne T. Sanchez,Los Angeles
636,"Superior Court of California, County of Los Angeles",Jose I. Sandoval,Los Angeles
637,"Superior Court of California, County of Los Angeles",Melvin D. Sandvig,Los Angeles
638,"Superior Court of California, County of Los Angeles",Steven P. Sanora,Los Angeles
639,"Superior Court of California, County of Los Angeles",Ray A. Santana,Los Angeles
640,"Superior Court of California, County of Los Angeles",Lynn H Scaduto,Los Angeles
641,"Superior Court of California, County of Los Angeles",Barbara Marie Scheper,Los Angeles
642,"Superior Court of California, County of Los Angeles",Alan K. Schneider,Los Angeles
643,"Superior Court of California, County of Los Angeles",Robert J. Schuit,Los Angeles
644,"Superior Court of California, County of Los Angeles",Keith L. Schwartz,Los Angeles
645,"Superior Court of California, County of Los Angeles",Teri Schwartz,Los Angeles
646,"Superior Court of California, County of Los Angeles",Ramona G. See,Los Angeles
647,"Superior Court of California, County of Los Angeles",Laura A. Seigle,Los Angeles
648,"Superior Court of California, County of Los Angeles",Jana M. Seng,Los Angeles
649,"Superior Court of California, County of Los Angeles",Lisa K. Sepe-Wiesenfeld,Los Angeles
650,"Superior Court of California, County of Los Angeles",Robert Serna,Los Angeles
651,"Superior Court of California, County of Los Angeles",Frederick C. Shaller,Los Angeles
652,"Superior Court of California, County of Los Angeles",Norman J. Shapiro,Los Angeles
653,"Superior Court of California, County of Los Angeles",Michelle S. Short,Los Angeles
654,"Superior Court of California, County of Los Angeles",Dorothy L. Shubin,Los Angeles
655,"Superior Court of California, County of Los Angeles",Michael J. Shultz,Los Angeles
656,"Superior Court of California, County of Los Angeles",Harvey A. Silberman,Los Angeles
657,"Superior Court of California, County of Los Angeles",B. Scott Silverman,Los Angeles
658,"Superior Court of California, County of Los Angeles",Zaven V. Sinanian,Los Angeles
659,"Superior Court of California, County of Los Angeles",Salvatore T. Sirna,Los Angeles
660,"Superior Court of California, County of Los Angeles",John A. Slawson,Los Angeles
661,"Superior Court of California, County of Los Angeles",Michael C. Small,Los Angeles
662,"Superior Court of California, County of Los Angeles",Terry Lee Smerling,Los Angeles
663,"Superior Court of California, County of Los Angeles",J. Christopher Smith,Los Angeles
664,"Superior Court of California, County of Los Angeles",Spurgeon E. Smith,Los Angeles
665,"Superior Court of California, County of Los Angeles",Thomas R. Sokolov,Los Angeles
666,"Superior Court of California, County of Los Angeles",Kathryn A. Solorzano,Los Angeles
667,"Superior Court of California, County of Los Angeles",Douglas W. Sortino,Los Angeles
668,"Superior Court of California, County of Los Angeles",David Sotelo,Los Angeles
669,"Superior Court of California, County of Los Angeles",Philip L. Soto,Los Angeles
670,"Superior Court of California, County of Los Angeles",Susan M. Speer,Los Angeles
671,"Superior Court of California, County of Los Angeles",Kevin P Stennis,Los Angeles
672,"Superior Court of California, County of Los Angeles",William N. Sterling,Los Angeles
673,"Superior Court of California, County of Los Angeles",Douglas W. Stern,Los Angeles
674,"Superior Court of California, County of Los Angeles",Michael L. Stern,Los Angeles
675,"Superior Court of California, County of Los Angeles",William D. Stewart,Los Angeles
676,"Superior Court of California, County of Los Angeles",Natalie P. Stone,Los Angeles
677,"Superior Court of California, County of Los Angeles",Mary H. Strobel,Los Angeles
678,"Superior Court of California, County of Los Angeles",David W. Stuart,Los Angeles
679,"Superior Court of California, County of Los Angeles",Teresa T. Sullivan,Los Angeles
680,"Superior Court of California, County of Los Angeles",Paul T. Suzuki,Los Angeles
681,"Superior Court of California, County of Los Angeles",Leslie A. Swain,Los Angeles
682,"Superior Court of California, County of Los Angeles",Gustavo N. Sztraicher,Los Angeles
683,"Superior Court of California, County of Los Angeles",Jon R. Takasugi,Los Angeles
684,"Superior Court of California, County of Los Angeles",Armen Tamzarian,Los Angeles
685,"Superior Court of California, County of Los Angeles",Gary Y. Tanaka,Los Angeles
686,"Superior Court of California, County of Los Angeles","Sergio C. Tapia, II",Los Angeles
687,"Superior Court of California, County of Los Angeles",Norman Perry Tarle,Los Angeles
688,"Superior Court of California, County of Los Angeles",Frank M. Tavelman,Los Angeles
689,"Superior Court of California, County of Los Angeles",Chet L. Taylor,Los Angeles
690,"Superior Court of California, County of Los Angeles",Eric C. Taylor,Los Angeles
691,"Superior Court of California, County of Los Angeles",Michael Terrell,Los Angeles
692,"Superior Court of California, County of Los Angeles",Holly A. Thomas,Los Angeles
693,"Superior Court of California, County of Los Angeles",Andrea C. Thompson,Los Angeles
694,"Superior Court of California, County of Los Angeles",Bobbi Tillmon,Los Angeles
695,"Superior Court of California, County of Los Angeles",Patricia Jo Titus,Los Angeles
696,"Superior Court of California, County of Los Angeles",Shelly B. Torrealba,Los Angeles
697,"Superior Court of California, County of Los Angeles",John A. Torribio,Los Angeles
698,"Superior Court of California, County of Los Angeles",Susan Jung Townsend,Los Angeles
699,"Superior Court of California, County of Los Angeles",Theresa M. Traber,Los Angeles
700,"Superior Court of California, County of Los Angeles",Anthony A. Trendacosta,Los Angeles
701,"Superior Court of California, County of Los Angeles",Rolf Michael Treu,Los Angeles
702,"Superior Court of California, County of Los Angeles",Lee W. Tsao,Los Angeles
703,"Superior Court of California, County of Los Angeles",Michael Anthony Tynan,Los Angeles
704,"Superior Court of California, County of Los Angeles",Cynthia L. Ulfig,Los Angeles
705,"Superior Court of California, County of Los Angeles",Pamela T Usher,Los Angeles
706,"Superior Court of California, County of Los Angeles",Jessica A. Uzcategui,Los Angeles
707,"Superior Court of California, County of Los Angeles",Robert C. Vanderet,Los Angeles
708,"Superior Court of California, County of Los Angeles",Carlos E. Vazquez,Los Angeles
709,"Superior Court of California, County of Los Angeles",Craig Elliott Veals,Los Angeles
710,"Superior Court of California, County of Los Angeles",Lillian Vega Jacobs,Los Angeles
711,"Superior Court of California, County of Los Angeles",Yvette Verastegui,Los Angeles
712,"Superior Court of California, County of Los Angeles",Michael P. Vicencia,Los Angeles
713,"Superior Court of California, County of Los Angeles",Michael Villalobos,Los Angeles
714,"Superior Court of California, County of Los Angeles",Mary Lou Villar de Longoria,Los Angeles
715,"Superior Court of California, County of Los Angeles",Rob B. Villeza,Los Angeles
716,"Superior Court of California, County of Los Angeles",Victor G. Viramontes,Los Angeles
717,"Superior Court of California, County of Los Angeles",Robert S. Wada,Los Angeles
718,"Superior Court of California, County of Los Angeles",David B. Walgren,Los Angeles
719,"Superior Court of California, County of Los Angeles",Joel M. Wallenstein,Los Angeles
720,"Superior Court of California, County of Los Angeles",Richard F. Walmark,Los Angeles
721,"Superior Court of California, County of Los Angeles",Laura R. Walton,Los Angeles
722,"Superior Court of California, County of Los Angeles",Fred N. Wapner,Los Angeles
723,"Superior Court of California, County of Los Angeles",Fumiko Hachiya Wasserman,Los Angeles
724,"Superior Court of California, County of Los Angeles",Shirley K. Watkins,Los Angeles
725,"Superior Court of California, County of Los Angeles",Joshua D. Wayser,Los Angeles
726,"Superior Court of California, County of Los Angeles","Allen Joseph Webster, Jr.",Los Angeles
727,"Superior Court of California, County of Los Angeles",Timothy M. Weiner,Los Angeles
728,"Superior Court of California, County of Los Angeles",Gregory J. Weingart,Los Angeles
729,"Superior Court of California, County of Los Angeles",Debre Katz Weintraub,Los Angeles
730,"Superior Court of California, County of Los Angeles",Lauren Weis Birnstein,Los Angeles
731,"Superior Court of California, County of Los Angeles",Michael E. Whitaker,Los Angeles
732,"Superior Court of California, County of Los Angeles",Elizabeth Allen White,Los Angeles
733,"Superior Court of California, County of Los Angeles",Kerry L. White,Los Angeles
734,"Superior Court of California, County of Los Angeles",Gloria L. White-Brown,Los Angeles
735,"Superior Court of California, County of Los Angeles",Melissa N. Widdifield,Los Angeles
736,"Superior Court of California, County of Los Angeles",Stacy Wiese,Los Angeles
737,"Superior Court of California, County of Los Angeles","John Shepard Wiley, Jr.",Los Angeles
738,"Superior Court of California, County of Los Angeles",William G. Willett,Los Angeles
739,"Superior Court of California, County of Los Angeles",Victoria B. Wilson,Los Angeles
740,"Superior Court of California, County of Los Angeles",Mark E. Windham,Los Angeles
741,"Superior Court of California, County of Los Angeles",Victor L. Wright,Los Angeles
742,"Superior Court of California, County of Los Angeles",Brian C. Yep,Los Angeles
743,"Superior Court of California, County of Los Angeles",Amy C. Yerkey,Los Angeles
744,"Superior Court of California, County of Los Angeles",Mark A. Young,Los Angeles
745,"Superior Court of California, County of Los Angeles",Geanene M. Yriarte,Los Angeles
746,"Superior Court of California, County of Los Angeles",Hayden A. Zacky,Los Angeles
747,"Superior Court of California, County of Los Angeles",Daniel Zeke Zeidler,Los Angeles
748,"Superior Court of California, County of Los Angeles",Helen Zukin,Los Angeles
749,"Superior Court of California, County of Madera",Thomas L. Bender,Madera
750,"Superior Court of California, County of Madera",Dale J. Blea,Madera
751,"Superior Court of California, County of Madera",D. Lynn Collet,Madera
752,"Superior Court of California, County of Madera",Michael J. Jurkovich,Madera
753,"Superior Court of California, County of Madera",Ernest J. LiCalsi,Madera
754,"Superior Court of California, County of Madera",James E. Oakley,Madera
755,"Superior Court of California, County of Madera",Mitchell C. Rigby,Madera
756,"Superior Court of California, County of Madera",Joseph A. Soldani,Madera
757,"Superior Court of California, County of Marin",Verna A. Adams,Marin
758,"Superior Court of California, County of Marin",Roy O. Chernus,Marin
759,"Superior Court of California, County of Marin",James T. Chou,Marin
760,"Superior Court of California, County of Marin",Stephen P. Freccero,Marin
761,"Superior Court of California, County of Marin",Paul M. Haakenson,Marin
762,"Superior Court of California, County of Marin",Geoffrey M. Howard,Marin
763,"Superior Court of California, County of Marin",Beth S. Jordan,Marin
764,"Superior Court of California, County of Marin",Sheila Shah Lichtblau,Marin
765,"Superior Court of California, County of Marin",Kelly V. Simmons,Marin
766,"Superior Court of California, County of Marin",Andrew E. Sweet,Marin
767,"Superior Court of California, County of Marin",Mark A. Talamantes,Marin
768,"Superior Court of California, County of Marin",Beverly K. Wood,Marin
769,"Superior Court of California, County of Mariposa",Michael A. Fagalde,Mariposa
770,"Superior Court of California, County of Mariposa",F. Dana Walton,Mariposa
771,"Superior Court of California, County of Mendocino",John A. Behnke,Mendocino
772,"Superior Court of California, County of Mendocino",Clayton L. Brennan,Mendocino
773,"Superior Court of California, County of Mendocino",Carly B. Dolan,Mendocino
774,"Superior Court of California, County of Mendocino",Keith Faulder,Mendocino
775,"Superior Court of California, County of Mendocino",Cindee F. Mayfield,Mendocino
776,"Superior Court of California, County of Mendocino",Ann Moorman,Mendocino
777,"Superior Court of California, County of Mendocino",Jeanine B. Nadel,Mendocino
778,"Superior Court of California, County of Mendocino",David A. Riemenschneider,Mendocino
779,"Superior Court of California, County of Merced",Carol K. Ash,Merced
780,"Superior Court of California, County of Merced",Mark V. Bacciarini,Merced
781,"Superior Court of California, County of Merced",John D. Kirihara,Merced
782,"Superior Court of California, County of Merced",Paul C. Lo,Merced
783,"Superior Court of California, County of Merced",Brian L. McCabe,Merced
784,"Superior Court of California, County of Merced",David W. Moranda,Merced
785,"Superior Court of California, County of Merced",Donald J. Proietti,Merced
786,"Superior Court of California, County of Merced",Jeanne Schechter,Merced
787,"Superior Court of California, County of Merced",Shelly Seymour,Merced
788,"Superior Court of California, County of Merced",Steven K. Slocum,Merced
789,"Superior Court of California, County of Modoc",Francis W. Barclay,Modoc
790,"Superior Court of California, County of Modoc",David A. Mason,Modoc
791,"Superior Court of California, County of Mono",Stanley L. Eller,Mono
792,"Superior Court of California, County of Mono",Mark G. Magit,Mono
793,"Superior Court of California, County of Monterey",Marla O. Anderson,Monterey
794,"Superior Court of California, County of Monterey",Robert A. Burlison,Monterey
795,"Superior Court of California, County of Monterey",Pamela L. Butler,Monterey
796,"Superior Court of California, County of Monterey",Julie R. Culver,Monterey
797,"Superior Court of California, County of Monterey",Larry E. Hayes,Monterey
798,"Superior Court of California, County of Monterey",Mark E. Hood,Monterey
799,"Superior Court of California, County of Monterey",Stephanie E. Hulsey,Monterey
800,"Superior Court of California, County of Monterey",Efren N. Iglesia,Monterey
801,"Superior Court of California, County of Monterey","Sam Lavorato, Jr.",Monterey
802,"Superior Court of California, County of Monterey",Andrew G. Liu,Monterey
803,"Superior Court of California, County of Monterey",Susan J. Matcham,Monterey
804,"Superior Court of California, County of Monterey",Elisabeth K. Mineta,Monterey
805,"Superior Court of California, County of Monterey",Carrie McIntyre Panetta,Monterey
806,"Superior Court of California, County of Monterey",Timothy P. Roberts,Monterey
807,"Superior Court of California, County of Monterey",Vanessa W. Vallarta,Monterey
808,"Superior Court of California, County of Monterey",Rafael Vazquez,Monterey
809,"Superior Court of California, County of Monterey",Lydia M. Villarreal,Monterey
810,"Superior Court of California, County of Monterey",Heidi K. Whilden,Monterey
811,"Superior Court of California, County of Monterey",Thomas W. Wills,Monterey
812,"Superior Court of California, County of Napa",Mark Boessenecker,Napa
813,"Superior Court of California, County of Napa",Elia Ortiz,Napa
814,"Superior Court of California, County of Napa",Diane M. Price,Napa
815,"Superior Court of California, County of Napa",Cynthia Pillsbury Smith,Napa
816,"Superior Court of California, County of Napa",Rodney G. Stone,Napa
817,"Superior Court of California, County of Napa",Victoria D. Wood,Napa
818,"Superior Court of California, County of Nevada",Thomas M. Anderson,Nevada
819,"Superior Court of California, County of Nevada",Candace S. Heidelberger,Nevada
820,"Superior Court of California, County of Nevada",Linda J. Sloven,Nevada
821,"Superior Court of California, County of Nevada",Robert Lynn Tamietti,Nevada
822,"Superior Court of California, County of Nevada",B. Scott Thomsen,Nevada
823,"Superior Court of California, County of Nevada",Robert Tice-Raskin,Nevada
824,"Superior Court of California, County of Orange",John S. Adams,Orange
825,"Superior Court of California, County of Orange",Matthew S. Anderson,Orange
826,"Superior Court of California, County of Orange",Gassia Apkarian,Orange
827,"Superior Court of California, County of Orange",Craig E. Arthur,Orange
828,"Superior Court of California, County of Orange",Julian W. Bailey,Orange
829,"Superior Court of California, County of Orange",Ronald Lawrence Bauer,Orange
830,"Superior Court of California, County of Orange",David L. Belz,Orange
831,"Superior Court of California, County of Orange",Carlton P. Biggs,Orange
832,"Superior Court of California, County of Orange",Steven D. Bromberg,Orange
833,"Superior Court of California, County of Orange",Jacki C. Brown,Orange
834,"Superior Court of California, County of Orange",Debra D. Carrillo,Orange
835,"Superior Court of California, County of Orange",Michael J. Cassidy,Orange
836,"Superior Court of California, County of Orange",David R. Chaffee,Orange
837,"Superior Court of California, County of Orange",Lewis W. Clapp,Orange
838,"Superior Court of California, County of Orange",William D. Claster,Orange
839,"Superior Court of California, County of Orange",H. Shaina Colover,Orange
840,"Superior Court of California, County of Orange",John Dorsey Conley,Orange
841,"Superior Court of California, County of Orange",Scott B. Cooper,Orange
842,"Superior Court of California, County of Orange",Corey Scott Cramin,Orange
843,"Superior Court of California, County of Orange",James L. Crandall,Orange
844,"Superior Court of California, County of Orange",Andre De La Cruz,Orange
845,"Superior Court of California, County of Orange",Thomas A. Delaney,Orange
846,"Superior Court of California, County of Orange",James J. Di Cesare,Orange
847,"Superior Court of California, County of Orange",Jeremy D. Dolnick,Orange
848,"Superior Court of California, County of Orange",Patrick H. Donahue,Orange
849,"Superior Court of California, County of Orange",Nick A. Dourbetas,Orange
850,"Superior Court of California, County of Orange",Kim Garlin Dunning,Orange
851,"Superior Court of California, County of Orange",Bradley S. Erdosi,Orange
852,"Superior Court of California, County of Orange",Sheila B. Fell,Orange
853,"Superior Court of California, County of Orange",Jeff Ferguson,Orange
854,"Superior Court of California, County of Orange",Jonathan S. Fish,Orange
855,"Superior Court of California, County of Orange",John L. Flynn III,Orange
856,"Superior Court of California, County of Orange",Terri K. Flynn-Peister,Orange
857,"Superior Court of California, County of Orange",Donald F. Gaffney,Orange
858,"Superior Court of California, County of Orange",Robert C. Gannon,Orange
859,"Superior Court of California, County of Orange",John C. Gastelum,Orange
860,"Superior Court of California, County of Orange",Stephanie George,Orange
861,"Superior Court of California, County of Orange",Geoffrey T. Glass,Orange
862,"Superior Court of California, County of Orange",Thomas A. Glazier,Orange
863,"Superior Court of California, County of Orange",Martha K. Gooding,Orange
864,"Superior Court of California, County of Orange",Beatriz M. Gordon,Orange
865,"Superior Court of California, County of Orange",Craig L. Griffin,Orange
866,"Superior Court of California, County of Orange",Sheila F. Hanson,Orange
867,"Superior Court of California, County of Orange",Kevin Haskins,Orange
868,"Superior Court of California, County of Orange",Douglas Hatchimonji,Orange
869,"Superior Court of California, County of Orange",Carol L Henson,Orange
870,"Superior Court of California, County of Orange",Maria D. Hernandez,Orange
871,"Superior Court of California, County of Orange",Cynthia M. Herrera,Orange
872,"Superior Court of California, County of Orange",David J. Hesseltine,Orange
873,"Superior Court of California, County of Orange",David A. Hoffer,Orange
874,"Superior Court of California, County of Orange",Sherri L. Honer,Orange
875,"Superior Court of California, County of Orange",Theodore R. Howard,Orange
876,"Superior Court of California, County of Orange",Kim R. Hubbard,Orange
877,"Superior Court of California, County of Orange",Derek W. Hunt,Orange
878,"Superior Court of California, County of Orange",Lon F. Hurwitz,Orange
879,"Superior Court of California, County of Orange",Lance P. Jensen,Orange
880,"Superior Court of California, County of Orange",Derek Guy Johnson,Orange
881,"Superior Court of California, County of Orange",Gerald G. Johnston,Orange
882,"Superior Court of California, County of Orange",Gregory W. Jones,Orange
883,"Superior Court of California, County of Orange",Jeannie M. Joseph,Orange
884,"Superior Court of California, County of Orange",M. Marc Kelly,Orange
885,"Superior Court of California, County of Orange",Dennis J. Keough,Orange
886,"Superior Court of California, County of Orange",Richard M. King,Orange
887,"Superior Court of California, County of Orange",Kimberly A. Knill,Orange
888,"Superior Court of California, County of Orange",Robert A. Knox,Orange
889,"Superior Court of California, County of Orange",Mary Kreber Varipapa,Orange
890,"Superior Court of California, County of Orange",Erick L. Larsh,Orange
891,"Superior Court of California, County of Orange",Richard Y. Lee,Orange
892,"Superior Court of California, County of Orange",Cheryl L. Leininger,Orange
893,"Superior Court of California, County of Orange",Michael A. Leversen,Orange
894,"Superior Court of California, County of Orange",Gregory H. Lewis,Orange
895,"Superior Court of California, County of Orange",Katherine E. Lewis,Orange
896,"Superior Court of California, County of Orange",Brett G. London,Orange
897,"Superior Court of California, County of Orange",Elizabeth G. Macias,Orange
898,"Superior Court of California, County of Orange",Andre Manssourian,Orange
899,"Superior Court of California, County of Orange",Charles Margines,Orange
900,"Superior Court of California, County of Orange",Joy Wiesenfeld Markman,Orange
901,"Superior Court of California, County of Orange",Linda S. Marks,Orange
902,"Superior Court of California, County of Orange",Michael S. McCartin,Orange
903,"Superior Court of California, County of Orange",Thomas S. McConville,Orange
904,"Superior Court of California, County of Orange",Melissa R. McCormick,Orange
905,"Superior Court of California, County of Orange",Layne H. Melzer,Orange
906,"Superior Court of California, County of Orange",Kimberly Menninger,Orange
907,"Superior Court of California, County of Orange",Mark S. Millard,Orange
908,"Superior Court of California, County of Orange",Franz E. Miller,Orange
909,"Superior Court of California, County of Orange",Gary L. Moorhead,Orange
910,"Superior Court of California, County of Orange",Robert James Moss,Orange
911,"Superior Court of California, County of Orange",Joanne Motoike,Orange
912,"Superior Court of California, County of Orange",Michael F. Murray,Orange
913,"Superior Court of California, County of Orange",Kirk H. Nakamura,Orange
914,"Superior Court of California, County of Orange",Frank Ospino,Orange
915,"Superior Court of California, County of Orange",Richard E Pacheco,Orange
916,"Superior Court of California, County of Orange",Gary S. Paer,Orange
917,"Superior Court of California, County of Orange",Julie A. Palafox,Orange
918,"Superior Court of California, County of Orange",Joe T. Perez,Orange
919,"Superior Court of California, County of Orange",Michael E. Perez,Orange
920,"Superior Court of California, County of Orange",Cheri T. Pham,Orange
921,"Superior Court of California, County of Orange",Gary M. Pohlson,Orange
922,"Superior Court of California, County of Orange",Gregg L. Prickett,Orange
923,"Superior Court of California, County of Orange",Sheila Recio,Orange
924,"Superior Court of California, County of Orange",Roger B. Robbins,Orange
925,"Superior Court of California, County of Orange",Kathleen E. Roberts,Orange
926,"Superior Court of California, County of Orange",Karen L. Robinson,Orange
927,"Superior Court of California, County of Orange",James Edward Rogan,Orange
928,"Superior Court of California, County of Orange",Glenn R. Salter,Orange
929,"Superior Court of California, County of Orange",Maurice Sanchez,Orange
930,"Superior Court of California, County of Orange",Glenda Sanders,Orange
931,"Superior Court of California, County of Orange",Salvador Sarmiento,Orange
932,"Superior Court of California, County of Orange",Walter P. Schwarm,Orange
933,"Superior Court of California, County of Orange",Nathan R. Scott,Orange
934,"Superior Court of California, County of Orange",Deborah C. Servino,Orange
935,"Superior Court of California, County of Orange",Randall J. Sherman,Orange
936,"Superior Court of California, County of Orange",Claudia J. Silbar,Orange
937,"Superior Court of California, County of Orange",Fred W. Slaughter,Orange
938,"Superior Court of California, County of Orange",Scott A. Steiner,Orange
939,"Superior Court of California, County of Orange",Michael J Strickroth,Orange
940,"Superior Court of California, County of Orange",Daphne Grace Sykes,Orange
941,"Superior Court of California, County of Orange",Nicholas S. Thompson,Orange
942,"Superior Court of California, County of Orange",Antony C Ufland,Orange
943,"Superior Court of California, County of Orange",Nathan T. Vu,Orange
944,"Superior Court of California, County of Orange",Megan Wagner,Orange
945,"Superior Court of California, County of Orange",James L. Waltz,Orange
946,"Superior Court of California, County of Orange",Peter J. Wilson,Orange
947,"Superior Court of California, County of Orange",Larry Yellin,Orange
948,"Superior Court of California, County of Orange",Nancy E. Zeltzer,Orange
949,"Superior Court of California, County of Orange",John R. Zitny,Orange
950,"Superior Court of California, County of Placer",Mark S. Curry,Placer
951,"Superior Court of California, County of Placer",Suzanne Gazzaniga,Placer
952,"Superior Court of California, County of Placer","Eugene S. Gini, Jr.",Placer
953,"Superior Court of California, County of Placer",Garen J. Horst,Placer
954,"Superior Court of California, County of Placer",Todd D. Irby,Placer
955,"Superior Court of California, County of Placer",Michael W. Jones,Placer
956,"Superior Court of California, County of Placer",Colleen M. Nichols,Placer
957,"Superior Court of California, County of Placer",Jeffrey Penney,Placer
958,"Superior Court of California, County of Placer",Alan V. Pineschi,Placer
959,"Superior Court of California, County of Placer",Charles D. Wachob,Placer
960,"Superior Court of California, County of Plumas",Janet Hilde,Plumas
961,"Superior Court of California, County of Plumas",Douglas M. Prouty,Plumas
962,"Superior Court of California, County of Riverside",Irma Poole Asberry,Riverside
963,"Superior Court of California, County of Riverside",Dean Benjamini,Riverside
964,"Superior Court of California, County of Riverside",Emily A. Benjamini,Riverside
965,"Superior Court of California, County of Riverside",Angel M. Bermudez,Riverside
966,"Superior Court of California, County of Riverside",Thomas H. Cahraman,Riverside
967,"Superior Court of California, County of Riverside",David M. Chapman,Riverside
968,"Superior Court of California, County of Riverside",Susanne S. Cho,Riverside
969,"Superior Court of California, County of Riverside",Judith C. Clark,Riverside
970,"Superior Court of California, County of Riverside",Mark Ashton Cope,Riverside
971,"Superior Court of California, County of Riverside",Steven G. Counelis,Riverside
972,"Superior Court of California, County of Riverside",John M. Davis,Riverside
973,"Superior Court of California, County of Riverside","Samuel Diaz, Jr.",Riverside
974,"Superior Court of California, County of Riverside",Frederick Paul Dickerson III,Riverside
975,"Superior Court of California, County of Riverside",Michael B. Donner,Riverside
976,"Superior Court of California, County of Riverside",Becky Lynn Dugan,Riverside
977,"Superior Court of California, County of Riverside",John G. Evans,Riverside
978,"Superior Court of California, County of Riverside",Kenneth J. Fernandez,Riverside
979,"Superior Court of California, County of Riverside",Chad W. Firetag,Riverside
980,"Superior Court of California, County of Riverside",Mac R. Fisher,Riverside
981,"Superior Court of California, County of Riverside",Timothy F. Freer,Riverside
982,"Superior Court of California, County of Riverside",Stephen J. Gallon,Riverside
983,"Superior Court of California, County of Riverside",Jennifer R. Gerard,Riverside
984,"Superior Court of California, County of Riverside",David A. Gunn,Riverside
985,"Superior Court of California, County of Riverside",Kelly L. Hansen,Riverside
986,"Superior Court of California, County of Riverside",Christopher B. Harmon,Riverside
987,"Superior Court of California, County of Riverside",Jorge C. Hernandez,Riverside
988,"Superior Court of California, County of Riverside",Timothy J. Hollenhorst,Riverside
989,"Superior Court of California, County of Riverside",Harold W. Hopp,Riverside
990,"Superior Court of California, County of Riverside",Jacqueline C. Jackson,Riverside
991,"Superior Court of California, County of Riverside",Mark E. Johnson,Riverside
992,"Superior Court of California, County of Riverside",Eric A. Keen,Riverside
993,"Superior Court of California, County of Riverside",Elaine M. Kiefer,Riverside
994,"Superior Court of California, County of Riverside",Kira L. Klatchko,Riverside
995,"Superior Court of California, County of Riverside",Charles J. Koosed,Riverside
996,"Superior Court of California, County of Riverside",Sean Lafferty,Riverside
997,"Superior Court of California, County of Riverside",James T. Latting,Riverside
998,"Superior Court of California, County of Riverside",Jackson Lucky,Riverside
999,"Superior Court of California, County of Riverside",Roger A. Luebs,Riverside
1000,"Superior Court of California, County of Riverside",Godofredo Magno,Riverside
1001,"Superior Court of California, County of Riverside",Mark A. Mandio,Riverside
1002,"Superior Court of California, County of Riverside",Raquel A. Marquez,Riverside
1003,"Superior Court of California, County of Riverside",Dorothy McLaughlin,Riverside
1004,"Superior Court of California, County of Riverside",John D. Molloy,Riverside
1005,"Superior Court of California, County of Riverside",John M. Monterosso,Riverside
1006,"Superior Court of California, County of Riverside",Russell L. Moore,Riverside
1007,"Superior Court of California, County of Riverside",Bambi J. Moyer,Riverside
1008,"Superior Court of California, County of Riverside",Gail A. O'Rane,Riverside
1009,"Superior Court of California, County of Riverside",Gregory Olson,Riverside
1010,"Superior Court of California, County of Riverside",Daniel A. Ottolia,Riverside
1011,"Superior Court of California, County of Riverside",Matthew C. Perantoni,Riverside
1012,"Superior Court of California, County of Riverside",Mark E. Petersen,Riverside
1013,"Superior Court of California, County of Riverside",Craig G. Riemer,Riverside
1014,"Superior Court of California, County of Riverside",Michael J. Rushton,Riverside
1015,"Superior Court of California, County of Riverside",Bernard Schwartz,Riverside
1016,"Superior Court of California, County of Riverside",Emma C. Smith,Riverside
1017,"Superior Court of California, County of Riverside",Randall S. Stamen,Riverside
1018,"Superior Court of California, County of Riverside","Otis Sterling, III",Riverside
1019,"Superior Court of California, County of Riverside",Burke Strunsky,Riverside
1020,"Superior Court of California, County of Riverside",Sunshine S. Sykes,Riverside
1021,"Superior Court of California, County of Riverside",Anthony R. Villalobos,Riverside
1022,"Superior Court of California, County of Riverside",John W. Vineyard,Riverside
1023,"Superior Court of California, County of Riverside",Sharon J. Waters,Riverside
1024,"Superior Court of California, County of Riverside",Dale R. Wells,Riverside
1025,"Superior Court of California, County of Sacramento",David W. Abbott,Sacramento
1026,"Superior Court of California, County of Sacramento",Stephen P. Acquisto,Sacramento
1027,"Superior Court of California, County of Sacramento",James P. Arguelles,Sacramento
1028,"Superior Court of California, County of Sacramento",Bunmi O. Awoniyi,Sacramento
1029,"Superior Court of California, County of Sacramento",Eugene L. Balonon,Sacramento
1030,"Superior Court of California, County of Sacramento",Thadd A. Blizzard,Sacramento
1031,"Superior Court of California, County of Sacramento",Tami R. Bogert,Sacramento
1032,"Superior Court of California, County of Sacramento",Jerilyn L. Borack,Sacramento
1033,"Superior Court of California, County of Sacramento",Stacy Boulware Eurie,Sacramento
