,State,County,Cases,Deaths,Date_of_minig
596,IA,Mills County,<20,0,2020-04-30
597,FL,Okaloosa County,152,<20,2020-04-30
598,KY,Bourbon County,<20,<20,2020-04-30
599,KY,Warren County,263,0,2020-04-30
600,GA,Wayne County,<20,0,2020-04-30
601,GA,Colquitt County,179,<20,2020-04-30
602,FL,Alachua County,255,<20,2020-04-30
603,KY,Bullitt County,51,<20,2020-04-30
604,FL,Martin County,185,<20,2020-04-30
605,IL,Henry County,38,0,2020-04-30
606,KS,Atchison County,<20,0,2020-04-30
607,KY,Butler County,113,<20,2020-04-30
608,GA,Calhoun County,87,<20,2020-04-30
609,CO,Dolores County,0,0,2020-04-30
610,KS,Kiowa County,<20,0,2020-04-30
611,IL,Vermilion County,<20,0,2020-04-30
612,IL,Jersey County,<20,<20,2020-04-30
613,GA,Towns County,21,<20,2020-04-30
614,KS,Cheyenne County,0,0,2020-04-30
615,IL,Scott County,0,0,2020-04-30
616,GA,Mitchell County,293,29,2020-04-30
617,IL,Stark County,<20,0,2020-04-30
618,KS,McPherson County,20,0,2020-04-30
619,IA,Appanoose County,<20,<20,2020-04-30
620,KY,Hickman County,<20,0,2020-04-30
621,CT,New Haven County,7089,478,2020-04-30
622,KY,Spencer County,<20,0,2020-04-30
623,GA,Macon County,75,<20,2020-04-30
624,FL,Palm Beach County,2877,173,2020-04-30
625,IA,Boone County,<20,0,2020-04-30
626,KY,Washington County,<20,0,2020-04-30
627,IL,White County,<20,0,2020-04-30
628,FL,Pasco County,239,<20,2020-04-30
629,IN,Montgomery County,37,0,2020-04-30
630,KS,Neosho County,<20,0,2020-04-30
631,IA,Monroe County,0,0,2020-04-30
632,IN,Madison County,401,34,2020-04-30
633,GA,Walker County,58,0,2020-04-30
634,FL,Pinellas County,709,31,2020-04-30
635,GA,Clay County,20,<20,2020-04-30
636,IN,Newton County,46,<20,2020-04-30
637,KS,Linn County,<20,0,2020-04-30
638,IL,Kankakee County,313,24,2020-04-30
639,IL,Kendall County,235,<20,2020-04-30
640,IA,Louisa County,269,<20,2020-04-30
641,IA,Mahaska County,<20,<20,2020-04-30
642,IA,Marion County,<20,0,2020-04-30
643,KS,Ness County,0,0,2020-04-30
644,CA,Humboldt County,53,0,2020-04-30
645,IL,Macon County,103,<20,2020-04-30
646,CA,Imperial County,304,<20,2020-04-30
647,IA,Montgomery County,<20,0,2020-04-30
648,LA,Red River Parish,23,<20,2020-04-30
649,CA,Inyo County,<20,<20,2020-04-30
650,IL,Madison County,318,<20,2020-04-30
651,KY,Calloway County,31,<20,2020-04-30
652,GA,Morgan County,24,0,2020-04-30
653,IA,Calhoun County,0,0,2020-04-30
654,IN,Noble County,58,<20,2020-04-30
655,FL,Columbia County,55,<20,2020-04-30
656,CO,Moffat County,<20,0,2020-04-30
657,IL,Calhoun County,<20,0,2020-04-30
658,IL,Carroll County,<20,<20,2020-04-30
659,AZ,Apache County,380,<20,2020-04-30
660,AR,Faulkner County,75,<20,2020-04-30
661,CA,Kern County,847,<20,2020-04-30
662,GA,Paulding County,171,<20,2020-04-30
663,CA,Tulare County,578,35,2020-04-30
664,IL,Piatt County,<20,0,2020-04-30
665,IL,Pope County,0,0,2020-04-30
666,GA,Bleckley County,<20,0,2020-04-30
667,AR,Johnson County,29,0,2020-04-30
668,IN,St. Joseph County,602,<20,2020-04-30
669,CA,Grand Princess Cruise Ship,21,0,2020-04-30
670,CO,Summit County,119,<20,2020-04-30
671,IL,Ford County,<20,<20,2020-04-30
672,GA,Irwin County,<20,<20,2020-04-30
673,IN,Jay County,<20,0,2020-04-30
674,IL,Hamilton County,<20,0,2020-04-30
675,IL,Saline County,<20,0,2020-04-30
676,KY,Barren County,<20,0,2020-04-30
677,IA,Adair County,<20,0,2020-04-30
678,CA,Solano County,249,<20,2020-04-30
679,IA,Iowa County,<20,0,2020-04-30
680,GA,Lowndes County,146,<20,2020-04-30
681,KY,Boone County,125,<20,2020-04-30
682,CO,Fremont County,22,0,2020-04-30
683,GA,Clayton County,667,24,2020-04-30
684,KS,Logan County,0,0,2020-04-30
685,DE,New Castle County,1701,63,2020-04-30
686,KY,Hopkins County,191,21,2020-04-30
687,IL,McLean County,94,<20,2020-04-30
688,FL,Bradford County,44,<20,2020-04-30
689,LA,Richland Parish,53,0,2020-04-30
690,IA,Carroll County,<20,0,2020-04-30
691,FL,Duval County,1001,20,2020-04-30
692,IL,Christian County,28,<20,2020-04-30
693,CA,Sutter County,29,<20,2020-04-30
694,LA,Sabine Parish,<20,<20,2020-04-30
695,IA,Statewide Unallocated,<20,0,2020-04-30
696,AR,Howard County,<20,0,2020-04-30
697,MI,Hillsdale County,118,<20,2020-04-30
698,GA,Quitman County,<20,<20,2020-04-30
699,CO,Custer County,<20,0,2020-04-30
700,IL,Henderson County,<20,0,2020-04-30
701,CO,Statewide Unallocated,165,<20,2020-04-30
702,CO,Denver County,2791,145,2020-04-30
703,CO,San Miguel County,<20,0,2020-04-30
704,IL,Jefferson County,81,<20,2020-04-30
705,IN,Scott County,39,<20,2020-04-30
706,CT,Windham County,164,<20,2020-04-30
707,IN,Fulton County,26,0,2020-04-30
708,IA,Jones County,<20,0,2020-04-30
709,AR,Lee County,<20,<20,2020-04-30
710,CO,Grand County,<20,0,2020-04-30
711,KS,Marion County,<20,0,2020-04-30
712,CO,Arapahoe County,2312,136,2020-04-30
713,GA,Montgomery County,<20,0,2020-04-30
714,FL,Holmes County,<20,0,2020-04-30
715,KY,Simpson County,24,<20,2020-04-30
716,KS,Wilson County,<20,0,2020-04-30
717,KY,Trigg County,<20,0,2020-04-30
718,IN,Johnson County,548,40,2020-04-30
719,IA,Bremer County,48,<20,2020-04-30
720,FL,Madison County,49,<20,2020-04-30
721,KY,Ballard County,<20,0,2020-04-30
722,GA,Troup County,141,<20,2020-04-30
723,GA,Catoosa County,46,0,2020-04-30
724,CT,Hartford County,5224,643,2020-04-30
725,KY,Bath County,<20,0,2020-04-30
726,IA,Pocahontas County,<20,0,2020-04-30
727,KY,Union County,<20,0,2020-04-30
728,KY,Knott County,<20,0,2020-04-30
729,GA,Heard County,<20,<20,2020-04-30
730,GA,Wilkinson County,34,<20,2020-04-30
731,FL,Bay County,70,<20,2020-04-30
732,IA,Franklin County,<20,0,2020-04-30
733,IL,Woodford County,<20,<20,2020-04-30
734,CA,Lake County,<20,0,2020-04-30
735,IA,Allamakee County,86,<20,2020-04-30
736,FL,Seminole County,374,<20,2020-04-30
737,LA,Statewide Unallocated,61,0,2020-04-30
738,GA,Stewart County,21,0,2020-04-30
739,CA,Contra Costa County,842,25,2020-04-30
740,IL,Tazewell County,38,<20,2020-04-30
741,GA,Talbot County,22,<20,2020-04-30
742,IA,Van Buren County,<20,0,2020-04-30
743,KS,Jewell County,<20,0,2020-04-30
744,CO,Eagle County,540,<20,2020-04-30
745,GA,Tift County,97,<20,2020-04-30
746,KS,Brown County,0,0,2020-04-30
747,CO,Conejos County,0,0,2020-04-30
748,KS,Chase County,<20,0,2020-04-30
749,FL,Manatee County,563,46,2020-04-30
750,DE,Statewide Unallocated,32,0,2020-04-30
751,KS,Allen County,0,0,2020-04-30
752,GA,Ware County,112,<20,2020-04-30
753,GA,Carroll County,333,<20,2020-04-30
754,IL,Johnson County,<20,0,2020-04-30
755,IN,Lawrence County,95,<20,2020-04-30
756,IL,Warren County,53,0,2020-04-30
757,IA,Adams County,0,0,2020-04-30
758,GA,Clinch County,<20,0,2020-04-30
759,CT,Litchfield County,900,76,2020-04-30
760,GA,Cobb County,1514,81,2020-04-30
761,CO,Douglas County,453,21,2020-04-30
762,IA,Muscatine County,319,<20,2020-04-30
763,GA,McIntosh County,<20,0,2020-04-30
764,KS,Coffey County,48,<20,2020-04-30
765,GA,Walton County,110,<20,2020-04-30
766,KY,Wayne County,<20,0,2020-04-30
767,KY,Jefferson County,1224,85,2020-04-30
768,IA,Page County,<20,0,2020-04-30
769,FL,Polk County,457,20,2020-04-30
770,KS,Norton County,0,0,2020-04-30
771,IA,Keokuk County,<20,0,2020-04-30
772,IL,Will County,2254,145,2020-04-30
773,KY,Campbell County,85,<20,2020-04-30
774,CA,Los Angeles County,20976,1000,2020-04-30
775,GA,Columbia County,147,<20,2020-04-30
776,IL,Jo Daviess County,<20,0,2020-04-30
777,KY,Woodford County,<20,0,2020-04-30
778,KS,Lyon County,171,0,2020-04-30
779,KY,Jessamine County,37,0,2020-04-30
780,IA,Lee County,<20,0,2020-04-30
781,KS,Cloud County,<20,0,2020-04-30
782,FL,St. Johns County,207,<20,2020-04-30
783,IN,Adams County,<20,<20,2020-04-30
784,KS,Mitchell County,<20,0,2020-04-30
785,IL,Livingston County,20,<20,2020-04-30
786,KY,Boyle County,<20,0,2020-04-30
787,KS,Edwards County,<20,0,2020-04-30
788,DC,Washington,3994,190,2020-04-30
789,KS,Nemaha County,<20,0,2020-04-30
790,CA,Glenn County,<20,0,2020-04-30
791,GA,Wilkes County,23,0,2020-04-30
792,IL,Winnebago County,365,<20,2020-04-30
793,IA,Monona County,<20,0,2020-04-30
794,KS,Crawford County,<20,<20,2020-04-30
795,KY,Wolfe County,0,0,2020-04-30
796,IN,Statewide Unallocated,0,0,2020-04-30
797,IA,Buena Vista County,<20,0,2020-04-30
798,KS,Douglas County,49,0,2020-04-30
799,IL,Williamson County,28,0,2020-04-30
800,MI,Huron County,<20,<20,2020-04-30
801,KS,Pottawatomie County,<20,0,2020-04-30
802,IN,Posey County,<20,0,2020-04-30
803,CA,Modoc County,0,0,2020-04-30
804,MN,Anoka County,186,<20,2020-04-30
805,IA,Cass County,<20,0,2020-04-30
806,KY,Webster County,21,0,2020-04-30
807,KS,Osage County,<20,0,2020-04-30
808,CA,Lassen County,0,0,2020-04-30
809,IN,Parke County,<20,0,2020-04-30
810,KS,Osborne County,<20,0,2020-04-30
811,CA,Marin County,226,<20,2020-04-30
812,MD,Somerset County,20,0,2020-04-30
813,IA,Polk County,813,31,2020-04-30
814,KS,Phillips County,<20,0,2020-04-30
815,IA,Pottawattamie County,28,<20,2020-04-30
816,IN,Porter County,228,<20,2020-04-30
817,LA,Ascension Parish,576,36,2020-04-30
818,KS,Rawlins County,0,0,2020-04-30
819,IA,Scott County,218,<20,2020-04-30
820,IN,Bartholomew County,238,<20,2020-04-30
821,KS,Cowley County,<20,<20,2020-04-30
822,KY,Johnson County,<20,0,2020-04-30
823,FL,Sarasota County,334,39,2020-04-30
824,LA,Acadia Parish,130,<20,2020-04-30
825,CA,Merced County,116,<20,2020-04-30
826,IA,Ringgold County,0,0,2020-04-30
827,IA,Benton County,30,<20,2020-04-30
828,CT,Tolland County,422,35,2020-04-30
829,IA,Johnson County,448,<20,2020-04-30
830,GA,Marion County,40,<20,2020-04-30
831,IN,Miami County,96,0,2020-04-30
832,CO,Gilpin County,<20,0,2020-04-30
833,KS,Clay County,<20,0,2020-04-30
834,KS,Marshall County,0,0,2020-04-30
835,IA,Lucas County,0,0,2020-04-30
836,FL,Orange County,1363,32,2020-04-30
837,IA,Marshall County,434,0,2020-04-30
838,FL,Statewide Unallocated,<20,0,2020-04-30
839,KY,Breckinridge County,<20,0,2020-04-30
840,IA,Osceola County,<20,0,2020-04-30
841,MI,Iosco County,48,<20,2020-04-30
842,IA,Cedar County,29,0,2020-04-30
843,IA,Shelby County,<20,0,2020-04-30
844,IA,Palo Alto County,0,0,2020-04-30
845,FL,St. Lucie County,239,22,2020-04-30
846,KS,Decatur County,0,0,2020-04-30
847,MN,Becker County,<20,0,2020-04-30
848,IN,Benton County,<20,0,2020-04-30
849,KS,Republic County,<20,0,2020-04-30
850,GA,Bulloch County,34,<20,2020-04-30
851,IN,Shelby County,191,<20,2020-04-30
852,GA,Henry County,484,<20,2020-04-30
853,IA,Hancock County,<20,0,2020-04-30
854,GA,Burke County,74,<20,2020-04-30
855,IL,Greene County,<20,0,2020-04-30
856,CO,Teller County,28,<20,2020-04-30
857,IL,Rock Island County,342,<20,2020-04-30
858,IN,Wayne County,33,<20,2020-04-30
859,IA,Henry County,32,<20,2020-04-30
860,FL,Liberty County,<20,0,2020-04-30
861,KS,Kearny County,<20,0,2020-04-30
862,ID,Clearwater County,0,0,2020-04-30
863,KS,Lincoln County,0,0,2020-04-30
864,ID,Custer County,<20,0,2020-04-30
865,IL,LaSalle County,49,<20,2020-04-30
866,GA,Webster County,<20,<20,2020-04-30
867,KY,Jackson County,59,<20,2020-04-30
868,GA,Wheeler County,<20,0,2020-04-30
869,IA,Mitchell County,<20,0,2020-04-30
870,IL,Macoupin County,30,0,2020-04-30
871,IN,Ohio County,<20,0,2020-04-30
872,IN,Orange County,63,<20,2020-04-30
873,KS,Rice County,<20,0,2020-04-30
874,MD,St. Mary's County,145,<20,2020-04-30
875,KS,Dickinson County,<20,0,2020-04-30
876,CA,Mariposa County,<20,0,2020-04-30
877,KS,Doniphan County,<20,0,2020-04-30
878,LA,Allen Parish,90,<20,2020-04-30
879,CA,Mono County,26,<20,2020-04-30
880,KS,Reno County,26,0,2020-04-30
881,CA,Nevada County,41,<20,2020-04-30
882,ID,Elmore County,30,<20,2020-04-30
883,MN,Otter Tail County,<20,0,2020-04-30
884,MN,Blue Earth County,33,0,2020-04-30
885,MN,Pennington County,<20,0,2020-04-30
886,IN,Boone County,185,<20,2020-04-30
887,KS,Rooks County,<20,0,2020-04-30
888,MN,Brown County,<20,<20,2020-04-30
889,ID,Franklin County,0,0,2020-04-30
890,FL,Putnam County,103,<20,2020-04-30
891,KS,Rush County,0,0,2020-04-30
892,IA,Plymouth County,<20,0,2020-04-30
893,KY,Kenton County,247,20,2020-04-30
894,MN,Beltrami County,<20,0,2020-04-30
895,MI,Isabella County,59,<20,2020-04-30
896,ID,Fremont County,<20,0,2020-04-30
897,ID,Gem County,<20,0,2020-04-30
898,MI,Kalamazoo County,327,<20,2020-04-30
899,KS,Russell County,0,0,2020-04-30
900,MD,Montgomery County,4003,201,2020-04-30
901,MI,Houghton County,<20,0,2020-04-30
902,IN,Owen County,22,<20,2020-04-30
903,MD,Prince George's County,5496,195,2020-04-30
904,KY,Whitley County,<20,0,2020-04-30
905,LA,Assumption Parish,177,<20,2020-04-30
906,KS,Pratt County,<20,0,2020-04-30
907,IN,Pulaski County,21,0,2020-04-30
908,IA,Sac County,0,0,2020-04-30
909,CA,Napa County,66,<20,2020-04-30
910,MI,Iron County,0,0,2020-04-30
911,MN,Pipestone County,<20,0,2020-04-30
912,ID,Gooding County,<20,0,2020-04-30
913,KS,Saline County,20,<20,2020-04-30
914,MN,Polk County,26,0,2020-04-30
915,MI,Kalkaska County,<20,<20,2020-04-30
916,ID,Idaho County,<20,0,2020-04-30
917,MN,Aitkin County,<20,0,2020-04-30
918,MN,Pope County,0,0,2020-04-30
919,MI,Ingham County,426,<20,2020-04-30
920,IN,Blackford County,<20,<20,2020-04-30
921,MI,Jackson County,342,<20,2020-04-30
922,MI,Kent County,1305,33,2020-04-30
923,MN,Ramsey County,317,22,2020-04-30
924,MI,Gratiot County,<20,<20,2020-04-30
925,MD,Kent County,73,<20,2020-04-30
926,MD,Queen Anne's County,55,<20,2020-04-30
927,IN,Perry County,<20,0,2020-04-30
928,CA,Madera County,45,<20,2020-04-30
929,KS,Pawnee County,0,0,2020-04-30
930,LA,Avoyelles Parish,71,<20,2020-04-30
931,IN,Putnam County,59,<20,2020-04-30
932,CA,Monterey County,191,<20,2020-04-30
933,MN,Big Stone County,<20,0,2020-04-30
934,KS,Riley County,46,0,2020-04-30
935,MN,Carlton County,53,0,2020-04-30
936,ID,Jefferson County,<20,0,2020-04-30
937,AR,Lawrence County,45,<20,2020-04-30
938,ID,Jerome County,48,<20,2020-04-30
939,CA,Alameda County,1533,55,2020-04-30
940,AR,Little River County,0,0,2020-04-30
941,ID,Kootenai County,61,0,2020-04-30
942,IN,Harrison County,125,<20,2020-04-30
943,LA,St. Charles Parish,554,37,2020-04-30
944,IN,Hendricks County,645,20,2020-04-30
945,GA,Jasper County,21,0,2020-04-30
946,AR,Monroe County,<20,0,2020-04-30
947,KS,Johnson County,446,38,2020-04-30
948,GA,Jenkins County,<20,<20,2020-04-30
949,ID,Latah County,<20,0,2020-04-30
950,IN,Jennings County,72,<20,2020-04-30
951,IL,St. Clair County,434,25,2020-04-30
952,GA,Camden County,31,<20,2020-04-30
953,CO,Yuma County,<20,0,2020-04-30
954,IA,Humboldt County,<20,0,2020-04-30
955,GA,Lincoln County,<20,0,2020-04-30
956,IL,Hardin County,<20,0,2020-04-30
957,IL,Schuyler County,<20,0,2020-04-30
958,GA,Twiggs County,<20,0,2020-04-30
959,KS,Bourbon County,<20,<20,2020-04-30
960,IL,Union County,<20,0,2020-04-30
961,IA,Black Hawk County,941,<20,2020-04-30
962,GA,Warren County,<20,0,2020-04-30
963,GA,Miller County,29,0,2020-04-30
964,KY,Henderson County,58,<20,2020-04-30
965,KY,Trimble County,<20,0,2020-04-30
966,IL,McHenry County,552,31,2020-04-30
967,IA,Buchanan County,<20,0,2020-04-30
968,FL,Baker County,20,<20,2020-04-30
969,IN,Morgan County,136,<20,2020-04-30
970,GA,Worth County,144,<20,2020-04-30
971,IA,O'Brien County,<20,0,2020-04-30
972,KS,Comanche County,0,0,2020-04-30
973,FL,Sumter County,177,<20,2020-04-30
974,LA,St. Bernard Parish,452,<20,2020-04-30
975,MD,Talbot County,34,<20,2020-04-30
976,KS,Elk County,0,0,2020-04-30
977,GA,Cook County,20,<20,2020-04-30
978,IA,Cerro Gordo County,<20,0,2020-04-30
979,KS,Scott County,0,0,2020-04-30
980,GA,Dade County,<20,<20,2020-04-30
981,MS,Yalobusha County,<20,0,2020-04-30
982,IA,Cherokee County,<20,0,2020-04-30
983,IA,Story County,26,<20,2020-04-30
984,MD,Worcester County,54,<20,2020-04-30
985,KS,Sheridan County,<20,0,2020-04-30
986,GA,Crawford County,<20,0,2020-04-30
987,GA,Dawson County,58,<20,2020-04-30
988,KY,Knox County,<20,0,2020-04-30
989,KS,Trego County,0,0,2020-04-30
990,KY,Carter County,<20,0,2020-04-30
991,LA,St. Mary Parish,182,20,2020-04-30
992,IN,Randolph County,<20,<20,2020-04-30
993,KS,Finney County,175,<20,2020-04-30
994,KY,Leslie County,<20,0,2020-04-30
995,MO,Barry County,<20,0,2020-04-30
996,KS,Ford County,544,0,2020-04-30
997,KY,Casey County,<20,0,2020-04-30
998,MS,Holmes County,121,<20,2020-04-30
999,IA,Clayton County,<20,<20,2020-04-30
1000,IA,Clinton County,48,<20,2020-04-30
1001,IA,Chickasaw County,<20,0,2020-04-30
1002,LA,Beauregard Parish,37,<20,2020-04-30
1003,LA,Bossier Parish,277,<20,2020-04-30
1004,LA,St. Tammany Parish,1184,104,2020-04-30
1005,KY,Larue County,<20,0,2020-04-30
1006,ID,Nez Perce County,59,<20,2020-04-30
1007,MA,Statewide Unallocated,625,<20,2020-04-30
1008,IA,Clay County,<20,0,2020-04-30
1009,GA,Dodge County,24,<20,2020-04-30
1010,LA,Caldwell Parish,<20,0,2020-04-30
1011,LA,St. Helena Parish,28,<20,2020-04-30
1012,GA,DeKalb County,1885,43,2020-04-30
1013,ID,Payette County,<20,<20,2020-04-30
1014,GA,Decatur County,66,<20,2020-04-30
1015,ID,Power County,<20,0,2020-04-30
1016,KS,Stevens County,<20,0,2020-04-30
1017,KS,Stanton County,<20,0,2020-04-30
1018,KY,Laurel County,<20,<20,2020-04-30
1019,KY,Lawrence County,<20,0,2020-04-30
1020,KY,Logan County,<20,0,2020-04-30
1021,ID,Lemhi County,<20,0,2020-04-30
1022,MO,Worth County,<20,0,2020-04-30
1023,IA,Sioux County,<20,0,2020-04-30
1024,KS,Shawnee County,106,<20,2020-04-30
1025,LA,St. Martin Parish,226,<20,2020-04-30
1026,LA,St. James Parish,240,<20,2020-04-30
1027,ID,Lincoln County,24,0,2020-04-30
1028,KS,Ellis County,<20,0,2020-04-30
1029,KY,Crittenden County,<20,<20,2020-04-30
1030,MD,Baltimore City,1977,83,2020-04-30
1031,LA,Catahoula Parish,25,<20,2020-04-30
1032,ID,Madison County,<20,0,2020-04-30
1033,KS,Sumner County,<20,<20,2020-04-30
1034,LA,Vermilion Parish,35,<20,2020-04-30
1035,MA,Barnstable County,820,39,2020-04-30
1036,KY,Lee County,0,0,2020-04-30
1037,MT,Teton County,0,0,2020-04-30
1038,KS,Sherman County,<20,0,2020-04-30
1039,KY,Lincoln County,<20,<20,2020-04-30
1040,KY,Grayson County,60,<20,2020-04-30
1041,KS,Franklin County,<20,0,2020-04-30
1042,IA,Delaware County,<20,0,2020-04-30
1043,KY,Christian County,86,<20,2020-04-30
1044,MO,Lewis County,<20,<20,2020-04-30
1045,MO,Statewide Unallocated,0,<20,2020-04-30
1046,LA,Calcasieu Parish,377,28,2020-04-30
1047,MO,Lincoln County,46,<20,2020-04-30
1048,KY,Clinton County,<20,0,2020-04-30
1049,MO,Bates County,<20,<20,2020-04-30
1050,LA,Webster Parish,85,<20,2020-04-30
1051,KY,Cumberland County,<20,0,2020-04-30
1052,KS,Geary County,<20,0,2020-04-30
1053,KY,Fayette County,242,<20,2020-04-30
1054,MS,Jackson County,252,<20,2020-04-30
1055,MO,Warren County,20,0,2020-04-30
1056,KY,Grant County,20,<20,2020-04-30
1057,MS,Jasper County,33,<20,2020-04-30
1058,MO,Adair County,<20,0,2020-04-30
1059,MT,Beaverhead County,<20,0,2020-04-30
1060,KY,Clark County,<20,0,2020-04-30
1061,ID,Shoshone County,0,0,2020-04-30
1062,KY,Floyd County,<20,0,2020-04-30
1063,KY,Lyon County,<20,<20,2020-04-30
1064,ID,Oneida County,0,0,2020-04-30
1065,LA,Washington Parish,256,<20,2020-04-30
1066,IL,Alexander County,<20,0,2020-04-30
1067,KY,McCreary County,<20,0,2020-04-30
1068,KY,Clay County,<20,0,2020-04-30
1069,GA,Crisp County,159,<20,2020-04-30
1070,MT,Toole County,29,<20,2020-04-30
1071,IA,Tama County,263,<20,2020-04-30
1072,LA,St. Landry Parish,170,37,2020-04-30
1073,MO,Marion County,<20,0,2020-04-30
1074,LA,Tangipahoa Parish,540,21,2020-04-30
1075,KY,Daviess County,169,<20,2020-04-30
1076,MS,Itawamba County,51,<20,2020-04-30
1077,KY,Edmonson County,<20,0,2020-04-30
1078,IA,Wright County,<20,0,2020-04-30
1079,MS,Lamar County,94,<20,2020-04-30
1080,KY,Greenup County,<20,0,2020-04-30
1081,LA,West Feliciana Parish,109,<20,2020-04-30
1082,GA,Treutlen County,<20,0,2020-04-30
1083,KY,Garrard County,<20,0,2020-04-30
1084,LA,Union Parish,108,<20,2020-04-30
1085,MO,Benton County,<20,0,2020-04-30
1086,MO,Buchanan County,68,<20,2020-04-30
1087,KY,Green County,<20,0,2020-04-30
1088,ID,Teton County,<20,0,2020-04-30
1089,MO,Lawrence County,0,0,2020-04-30
1090,GA,Charlton County,<20,0,2020-04-30
1091,MO,Miller County,<20,0,2020-04-30
1092,CT,Middlesex County,618,70,2020-04-30
1093,IL,Stephenson County,22,0,2020-04-30
1094,GA,Chattooga County,<20,<20,2020-04-30
1095,IL,Jasper County,44,<20,2020-04-30
1096,IN,Marion County,5080,214,2020-04-30
1097,GA,Cherokee County,430,<20,2020-04-30
1098,CO,Elbert County,27,<20,2020-04-30
1099,GA,Madison County,23,<20,2020-04-30
1100,DE,Kent County,728,23,2020-04-30
1101,IL,Kane County,1308,41,2020-04-30
1102,IL,Washington County,<20,0,2020-04-30
1103,KS,Clark County,<20,0,2020-04-30
1104,GA,Coffee County,121,<20,2020-04-30
1105,KS,Morris County,<20,0,2020-04-30
1106,GA,Whitfield County,75,<20,2020-04-30
1107,IL,McDonough County,<20,0,2020-04-30
1108,KY,Breathitt County,<20,0,2020-04-30
1109,IL,Whiteside County,76,<20,2020-04-30
1110,IA,Butler County,<20,0,2020-04-30
1111,KY,Caldwell County,<20,0,2020-04-30
1112,CA,Kings County,79,<20,2020-04-30
1113,KS,Ottawa County,<20,0,2020-04-30
1114,FL,Santa Rosa County,151,<20,2020-04-30
1115,IN,Pike County,<20,0,2020-04-30
1116,CA,Mendocino County,<20,0,2020-04-30
1117,IA,Poweshiek County,50,<20,2020-04-30
1118,IN,Allen County,504,22,2020-04-30
1119,MI,Ionia County,53,<20,2020-04-30
1120,MN,Benton County,<20,0,2020-04-30
1121,MN,Pine County,56,0,2020-04-30
1122,IN,Brown County,<20,<20,2020-04-30
1123,LA,Concordia Parish,32,<20,2020-04-30
1124,MS,Lauderdale County,318,<20,2020-04-30
1125,LA,Winn Parish,26,<20,2020-04-30
1126,MO,Butler County,26,0,2020-04-30
1127,MI,Keweenaw County,0,0,2020-04-30
1128,IA,Taylor County,<20,0,2020-04-30
1129,MN,Carver County,<20,0,2020-04-30
1130,KY,McLean County,<20,<20,2020-04-30
1131,MD,Washington County,187,<20,2020-04-30
1132,KS,Sedgwick County,351,<20,2020-04-30
1133,IN,Ripley County,91,<20,2020-04-30
1134,KS,Ellsworth County,0,0,2020-04-30
1135,MS,Hinds County,435,<20,2020-04-30
1136,MS,Humphreys County,<20,<20,2020-04-30
1137,LA,Terrebonne Parish,382,31,2020-04-30
1138,GA,Coweta County,191,<20,2020-04-30
1139,IA,Davis County,0,0,2020-04-30
1140,KS,Thomas County,0,0,2020-04-30
1141,ID,Lewis County,0,0,2020-04-30
1142,ID,Valley County,<20,0,2020-04-30
1143,KY,Fleming County,<20,0,2020-04-30
1144,KS,Seward County,422,0,2020-04-30
1145,MO,Madison County,<20,0,2020-04-30
1146,LA,St. John the Baptist Parish,758,66,2020-04-30
1147,MS,Lawrence County,38,0,2020-04-30
1148,MT,Wibaux County,0,0,2020-04-30
1149,MS,Jefferson County,<20,0,2020-04-30
1150,LA,West Baton Rouge Parish,94,<20,2020-04-30
1151,MI,Lake County,<20,0,2020-04-30
1152,ME,Cumberland County,466,24,2020-04-30
1153,LA,Caddo Parish,1497,100,2020-04-30
1154,LA,Vernon Parish,<20,<20,2020-04-30
1155,MT,Daniels County,0,0,2020-04-30
1156,ID,Twin Falls County,165,<20,2020-04-30
1157,MO,Laclede County,0,0,2020-04-30
1158,KY,McCracken County,48,<20,2020-04-30
1159,MO,Linn County,<20,<20,2020-04-30
1160,MT,Wheatland County,<20,0,2020-04-30
1161,KS,Wallace County,0,0,2020-04-30
1162,NE,Statewide Unallocated,<20,<20,2020-04-30
1163,KY,Harrison County,<20,0,2020-04-30
1164,KY,Elliott County,0,0,2020-04-30
1165,NE,Howard County,<20,0,2020-04-30
1166,NV,Mineral County,<20,0,2020-04-30
1167,MT,Sweet Grass County,0,0,2020-04-30
1168,ME,Aroostook County,<20,0,2020-04-30
1169,NV,Nye County,33,0,2020-04-30
1170,KS,Graham County,0,0,2020-04-30
1171,MI,Macomb County,5339,572,2020-04-30
1172,LA,Bienville Parish,73,<20,2020-04-30
1173,IA,Dickinson County,<20,0,2020-04-30
1174,KY,Magoffin County,0,0,2020-04-30
1175,ME,Oxford County,<20,0,2020-04-30
1176,MO,Monroe County,0,0,2020-04-30
1177,MO,Montgomery County,<20,0,2020-04-30
1178,MT,Dawson County,0,0,2020-04-30
1179,MT,Cascade County,<20,<20,2020-04-30
1180,LA,West Carroll Parish,<20,0,2020-04-30
1181,MS,Lincoln County,136,<20,2020-04-30
1182,MN,Chippewa County,<20,0,2020-04-30
1183,MO,Boone County,99,<20,2020-04-30
1184,KY,Carlisle County,<20,0,2020-04-30
1185,LA,East Feliciana Parish,118,<20,2020-04-30
1186,LA,Cameron Parish,<20,0,2020-04-30
1187,KY,Lewis County,<20,0,2020-04-30
1188,IA,Crawford County,<20,<20,2020-04-30
1189,IA,Dallas County,198,0,2020-04-30
1190,MS,Yazoo County,129,<20,2020-04-30
1191,KY,Carroll County,<20,0,2020-04-30
