,State,County,Cases,Deaths,Date_of_minig
133,HI,Statewide Unallocated,<20,0,2020-04-30
134,IL,Boone County,81,<20,2020-04-30
135,CA,Sonoma County,222,<20,2020-04-30
136,AZ,Coconino County,439,38,2020-04-30
137,AL,Marengo County,44,<20,2020-04-30
138,CO,Park County,<20,0,2020-04-30
139,IN,Elkhart County,269,<20,2020-04-30
140,AR,Independence County,<20,0,2020-04-30
141,AL,Perry County,<20,0,2020-04-30
142,IL,Pike County,<20,0,2020-04-30
143,GA,Bibb County,269,<20,2020-04-30
144,AK,Kusilvak Census Area,0,0,2020-04-30
145,AK,Sitka City and Borough,<20,0,2020-04-30
146,CO,La Plata County,59,0,2020-04-30
147,CO,Larimer County,334,<20,2020-04-30
148,AR,Lafayette County,<20,<20,2020-04-30
149,FL,Taylor County,<20,0,2020-04-30
150,AK,Wrangell City and Borough,0,0,2020-04-30
151,AL,Lawrence County,<20,0,2020-04-30
152,AR,Drew County,<20,<20,2020-04-30
153,CO,Montezuma County,<20,<20,2020-04-30
154,GA,Oglethorpe County,48,<20,2020-04-30
155,AR,Searcy County,<20,0,2020-04-30
156,AZ,Gila County,<20,0,2020-04-30
157,GA,Floyd County,134,<20,2020-04-30
158,AR,Garland County,115,0,2020-04-30
159,ID,Benewah County,0,0,2020-04-30
160,CO,Pitkin County,61,<20,2020-04-30
161,CO,Prowers County,<20,0,2020-04-30
162,GA,Grady County,58,<20,2020-04-30
163,AR,Jackson County,<20,0,2020-04-30
164,GA,Richmond County,382,<20,2020-04-30
165,AR,Jefferson County,162,<20,2020-04-30
166,IL,De Witt County,<20,0,2020-04-30
167,IN,Floyd County,173,<20,2020-04-30
168,AL,Houston County,84,<20,2020-04-30
169,FL,Brevard County,268,<20,2020-04-30
170,CA,San Luis Obispo County,173,<20,2020-04-30
171,FL,Wakulla County,22,<20,2020-04-30
172,FL,DeSoto County,26,<20,2020-04-30
173,GA,Emanuel County,20,0,2020-04-30
174,GA,Appling County,65,<20,2020-04-30
175,IN,Daviess County,46,<20,2020-04-30
176,AK,Nome Census Area,<20,0,2020-04-30
177,ID,Statewide Unallocated,0,0,2020-04-30
178,AL,Greene County,47,<20,2020-04-30
179,IN,DeKalb County,<20,<20,2020-04-30
180,FL,Gadsden County,94,0,2020-04-30
181,GA,Douglas County,298,<20,2020-04-30
182,GA,Pike County,39,<20,2020-04-30
183,AL,Lamar County,<20,0,2020-04-30
184,IL,Ogle County,110,<20,2020-04-30
185,GA,Early County,202,<20,2020-04-30
186,AZ,Maricopa County,3578,122,2020-04-30
187,CA,Santa Clara County,2122,106,2020-04-30
188,GA,Glascock County,0,0,2020-04-30
189,CA,Santa Cruz County,125,<20,2020-04-30
190,GA,Bartow County,298,30,2020-04-30
191,CO,Rio Blanco County,<20,0,2020-04-30
192,ID,Bannock County,<20,0,2020-04-30
193,AL,Pickens County,47,<20,2020-04-30
194,GA,Franklin County,<20,0,2020-04-30
195,ID,Butte County,0,0,2020-04-30
196,AR,Stone County,<20,0,2020-04-30
197,ID,Bear Lake County,0,0,2020-04-30
198,GA,Schley County,<20,<20,2020-04-30
199,AR,Greene County,<20,0,2020-04-30
200,GA,Screven County,<20,<20,2020-04-30
201,AR,Union County,43,0,2020-04-30
202,IN,Steuben County,21,<20,2020-04-30
203,CA,Yolo County,162,<20,2020-04-30
204,CA,Calaveras County,<20,0,2020-04-30
205,FL,Highlands County,81,<20,2020-04-30
206,CO,Huerfano County,<20,0,2020-04-30
207,GA,Rabun County,<20,<20,2020-04-30
208,IL,Gallatin County,<20,0,2020-04-30
209,AR,Woodruff County,<20,0,2020-04-30
210,AR,Marion County,<20,0,2020-04-30
211,CA,Yuba County,<20,<20,2020-04-30
212,IA,Greene County,<20,0,2020-04-30
213,GA,Greene County,52,<20,2020-04-30
214,CO,Chaffee County,66,<20,2020-04-30
215,GA,Gwinnett County,1603,54,2020-04-30
216,IN,Huntington County,<20,<20,2020-04-30
217,GA,Rockdale County,172,<20,2020-04-30
218,CA,Sacramento County,1053,41,2020-04-30
219,AR,Yell County,<20,0,2020-04-30
220,AK,Northwest Arctic Borough,0,0,2020-04-30
221,IL,DuPage County,2736,139,2020-04-30
222,AL,Hale County,41,<20,2020-04-30
223,CO,Sedgwick County,0,0,2020-04-30
224,FL,Citrus County,97,<20,2020-04-30
225,IN,Gibson County,<20,0,2020-04-30
226,FL,Clay County,272,<20,2020-04-30
227,IN,Spencer County,<20,0,2020-04-30
228,IN,Grant County,119,<20,2020-04-30
229,IL,Franklin County,<20,0,2020-04-30
230,FL,Union County,<20,0,2020-04-30
231,FL,Indian River County,90,<20,2020-04-30
232,IN,Jasper County,40,<20,2020-04-30
233,AR,Pulaski County,490,<20,2020-04-30
234,FL,Walton County,35,0,2020-04-30
235,CO,Morgan County,344,<20,2020-04-30
236,FL,Escambia County,485,<20,2020-04-30
237,AL,Madison County,222,<20,2020-04-30
238,GA,Forsyth County,283,<20,2020-04-30
239,AZ,La Paz County,<20,<20,2020-04-30
240,ID,Bingham County,<20,0,2020-04-30
241,CO,Las Animas County,<20,0,2020-04-30
242,FL,Hamilton County,<20,0,2020-04-30
243,GA,Oconee County,58,0,2020-04-30
244,GA,Gordon County,85,<20,2020-04-30
245,GA,Berrien County,<20,0,2020-04-30
246,FL,Washington County,<20,0,2020-04-30
247,IN,Franklin County,95,<20,2020-04-30
248,GA,Hancock County,35,<20,2020-04-30
249,IN,Vigo County,62,<20,2020-04-30
250,GA,Bryan County,49,<20,2020-04-30
251,GA,Haralson County,27,<20,2020-04-30
252,CO,Alamosa County,<20,<20,2020-04-30
253,GA,Houston County,219,<20,2020-04-30
254,AZ,Cochise County,37,0,2020-04-30
255,GA,Harris County,57,<20,2020-04-30
256,GA,Fannin County,26,<20,2020-04-30
257,FL,Hendry County,72,<20,2020-04-30
258,ID,Ada County,662,<20,2020-04-30
259,FL,Jackson County,<20,0,2020-04-30
260,CO,Bent County,0,0,2020-04-30
261,AR,Sebastian County,<20,0,2020-04-30
262,FL,Jefferson County,28,<20,2020-04-30
263,IN,Hancock County,204,<20,2020-04-30
264,CO,Otero County,<20,<20,2020-04-30
265,KS,Washington County,0,0,2020-04-30
266,AZ,Graham County,<20,0,2020-04-30
267,CO,Phillips County,<20,0,2020-04-30
268,IA,Guthrie County,<20,0,2020-04-30
269,FL,Glades County,<20,<20,2020-04-30
